Tot_HH,Tot_HH_U18_fem,HH_SNAP,Tot_HH_U18
957.0,0.0,0.0,129.0
1627.6,20.7,74.6,79.6
1726.9285714285713,5.5,82.0,102.71428571428571
1260.25,152.83333333333334,315.2083333333333,264.4166666666667
1269.0,5.0,123.0,25.0
1548.6363636363637,8.818181818181818,79.0909090909091,113.9090909090909
1597.875,25.625,163.5,102.625
1750.0,0.0,153.0,95.0
1028.0,0.0,56.0,10.0
1028.0,0.0,56.0,10.0
1787.0526315789473,251.21052631578948,460.42105263157896,605.7368421052631
1415.0,37.0,130.0,284.0
1857.6153846153845,121.3076923076923,251.07692307692307,493.84615384615387
1920.7272727272727,152.0,321.8181818181818,531.5454545454545
1734.75,87.625,401.0,449.75
1005.1111111111111,47.888888888888886,66.66666666666667,254.77777777777777
1480.5,182.08333333333334,325.0833333333333,435.3333333333333
1601.0,306.7,630.9,618.7
1377.0,272.1578947368421,522.578947368421,372.2105263157895
1358.6666666666667,139.83333333333334,415.5,264.5
1615.7,53.5,201.6,167.0
1714.8181818181818,318.54545454545456,756.5454545454545,685.3181818181819
1802.375,226.25,535.625,423.5625
1791.5555555555557,297.6666666666667,531.0,549.8888888888889
1860.4,13.4,65.8,199.6
1510.642857142857,46.0,88.21428571428571,235.57142857142858
1345.8,138.2,432.2,232.1
1591.8,95.2,166.06666666666666,240.73333333333332
1458.45,228.45,395.25,377.4
1343.4117647058824,226.7058823529412,655.8823529411765,293.7647058823529
1428.3076923076924,279.6923076923077,818.8461538461538,480.6923076923077
1708.4736842105262,370.1578947368421,818.0526315789474,638.2105263157895
2131.0,418.8181818181818,671.5454545454545,889.6363636363636
1486.3333333333333,209.33333333333334,320.0833333333333,540.8333333333334
1314.2222222222222,205.66666666666666,373.77777777777777,411.6666666666667
1900.0,391.6923076923077,699.3076923076923,578.6923076923077
1634.7222222222222,299.0,527.3333333333334,485.6111111111111
1471.28,305.28,763.44,477.28
1805.9166666666667,342.8333333333333,698.6666666666666,493.5
1753.4,314.1,602.4,587.9
1721.8695652173913,258.2608695652174,571.2173913043479,475.17391304347825
1465.8181818181818,239.8181818181818,474.40909090909093,408.59090909090907
1472.590909090909,107.68181818181819,288.22727272727275,334.0
1552.3333333333333,79.19047619047619,201.28571428571428,277.3809523809524
1816.235294117647,65.0,166.1764705882353,318.7647058823529
1640.3529411764705,103.41176470588235,291.11764705882354,417.7647058823529
1795.421052631579,299.57894736842104,564.0,762.9473684210526
1550.9166666666667,193.33333333333334,255.16666666666666,396.0
1683.3333333333333,323.1666666666667,453.75,556.8333333333334
1729.5,132.6,351.0,536.4
1384.0,213.0,347.85714285714283,400.2857142857143
1461.3,108.5,199.3,522.3
0.0,0.0,0.0,0.0
1641.0,7.0,33.0,125.0
0.0,0.0,0.0,0.0
1413.0,0.0,10.0,34.0
716.0,0.0,57.0,16.0
